Query Name,Top Hit,E-Value,Bit Score,Sequence Count,Total As,Total Ts,Total Cs,Total Gs,Total Ns  
A1b_forward, Psychrobacter_adeliensis, 7.5e-282, 929.4, 900, 243, 190, 186, 281, 0
A1b_reverse, Psychrobacter_adeliensis, 0, 1414.7, 1462, 373, 319, 335, 435, 0
A1d_forward, Stenotrophomonas_rhizophila, 1.2e-211, 695.8, 1165, 293, 237, 282, 353, 0
A1d_reverse, Stenotrophomonas_tumulicola, 9.1e-290, 954.3, 1119, 243, 253, 334, 289, 0
A1d2_forward, Psychrobacter_adeliensis, 7.4e-281, 926.1, 900, 242, 194, 184, 280, 0
A1d2_reverse, Psychrobacter_nivimaris, 3e-265, 874.5, 960, 215, 246, 272, 227, 0
B1a_forward, Veillonella_tobetsuensis, 1.5e-75, 245.2, 1049, 276, 190, 260, 323, 0
B1a_reverse, Streptococcus_oralis, 2.5e-70, 230.8, 1223, 302, 301, 254, 366, 0
B1a1_forward, Veillonella_tobetsuensis, 1.5e-75, 245.2, 1049, 276, 190, 260, 323, 0
B1a1_reverse, Shewanella_seohaensis, 3.1e-276, 912.0, 1143, 250, 275, 352, 266, 0
B1b1_forward, Marinomonas_foliarum, 9.5e-148, 485.4, 1167, 249, 256, 374, 288, 0
B1b1_reverse, Marinomonas_pontica, 3.5e-69, 225.4, 1175, 302, 260, 306, 307, 0
B1b2_1_forward, Marinomonas_vaga, 0.00081, 6.1, 146, 48, 16, 39, 43, 0
B1b2_1_reverse, Psychrobacter_nivimaris, 5.1e-181, 596.2, 1233, 296, 299, 303, 335, 0
B1b3_1_forward, Pseudomonas_oleovorans, 9.5e-151, 497.2, 661, 117, 124, 255, 165, 0
B1g_forward, Pseudomonas_oleovorans, 7.3e-148, 487.5, 589, 131, 115, 180, 163, 0
B1g_reverse, Pseudomonas_oleovorans, 1.2e-270, 895.4, 1193, 255, 266, 415, 257, 0
B1g1_forward, Pseudomonas_oleovorans, 1.6e-117, 386.6, 471, 94, 80, 171, 126, 0
B1g1_reverse, Azomonas_agilis, 3.7e-109, 353.4, 734, 161, 135, 256, 182, 0
B1g2_forward, Shewanella_profunda, 4.2e-23, 72.1, 274, 45, 38, 128, 63, 0
B1g2_reverse, Shewanella_frigidimarina, 3.8e-14, 42.5, 272, 50, 40, 113, 69, 0
B1g3_forward, Pseudomonas_oleovorans, 8e-140, 460.5, 478, 105, 84, 147, 142, 0
B1g3_reverse, Pseudomonas_oleovorans, 2e-265, 877.9, 1017, 219, 235, 318, 245, 0
B1h_forward, Shewanella_putrefaciens, 1.9e-176, 581.4, 934, 217, 176, 281, 260, 0
B1h_reverse, Shewanella_hafniensis, 1.2e-244, 807.4, 1213, 249, 273, 402, 289, 0
B1a2_forward, Shewanella_putrefaciens, 1.7e-282, 932.7, 1184, 293, 247, 283, 361, 0
B1a2_reverse, Shewanella_seohaensis, 3.6e-278, 918.4, 1144, 252, 267, 332, 293, 0
B1i_forward, Pseudomonas_oleovorans, 1.8e-282, 934.7, 1204, 291, 259, 310, 344, 0
B1i_reverse, Pseudomonas_oleovorans, 0, 1259.6, 1105, 237, 269, 340, 259, 0
B123_forward, Serratia_marcescens, 2.2e-235, 774.5, 748, 173, 141, 208, 226, 0
B123_reverse, Kluyvera_cryocrescens, 5.4e-237, 777.8, 1052, 236, 245, 309, 262, 0
B2a_forward, Pseudomonas_oleovorans, 0, 1169.9, 1123, 283, 233, 249, 358, 0
B2a_reverse, Azomonas_agilis, 1.8e-223, 732.3, 1171, 268, 285, 328, 290, 0
B2b_forward, Shewanella_hafniensis, 4.7e-294, 970.8, 1152, 275, 240, 271, 366, 0
B2b_reverse, Shewanella_hafniensis, 4.5e-276, 911.3, 1163, 244, 290, 347, 282, 0
B2b1_forward, Pseudomonas_oleovorans, 0, 1313.4, 1117, 289, 240, 240, 348, 0
B2b1_reverse, Pseudomonas_oleovorans, 0, 1111.0, 1167, 251, 300, 340, 276, 0
